BULKLOAD data/sortedData_3_10_1000.txt 1000
INSERT 1804289383 846930886 1681692777
INSERT 1714636915 1957747793 424238335
INSERT 719885386 1649760492 596516649
INSERT 1189641421 1025202362 1350490027
INSERT 783368690 1102520059 2044897763
INSERT 1967513926 1365180540 1540383426
INSERT 304089172 1303455736 35005211
INSERT 521595368 294702567 1726956429
INSERT 336465782 861021530 278722862
INSERT 233665123 2145174067 468703135
INSERT 1101513929 1801979802 1315634022
INSERT 635723058 1369133069 1125898167
INSERT 1059961393 2089018456 628175011
INSERT 1656478042 1131176229 1653377373
INSERT 859484421 1914544919 608413784
INSERT 756898537 1734575198 1973594324
INSERT 149798315 2038664370 1129566413
INSERT 184803526 412776091 1424268980
INSERT 1911759956 749241873 137806862
INSERT 42999170 982906996 135497281
QUERY 521595368 294702567 1726956429
QUERY 233665123 2145174067 468703135
QUERY 756898537 1734575198 1973594324
QUERY 521595368 294702567 1726956429
QUERY 1374344043 760313750 1477171087
QUERY 1889947178 1780695788 709393584
QUERY 42999170 982906996 135497281
QUERY 1411549676 1843993368 943947739
QUERY 1749698586 1469348094 1956297539
QUERY 2040651434 1975960378 317097467
QUERY 184803526 412776091 1424268980
QUERY 660260756 959997301 485560280
QUERY 1851445950 551008693 896551633
QUERY 233665123 2145174067 468703135
QUERY 1848520019 1172063133 990526343
QUERY 2113556942 386753870 1853101996
QUERY 1255179497 524872353 327254586
QUERY 1703964683 352406219 1600028624
QUERY 233665123 2145174067 468703135
QUERY 336465782 861021530 278722862
QUERY 233665123 2145174067 468703135
QUERY 1967513926 1365180540 1540383426
QUERY 1328104339 1380171692 1113502215
QUERY 111537764 338888228 2147469841
QUERY 859484421 1914544919 608413784
QUERY 155324914 8936987 1982275856
QUERY 639624893 1451163042 1830992300
QUERY 771151432 1186452551 1244316437
QUERY 1346941484 628257755 991505661
QUERY 2130794395 1239036029 1884661237
QUERY 336465782 861021530 278722862
QUERY 233665123 2145174067 468703135
QUERY 1939964443 2112255763 1432114613
QUERY 1782436840 1909002904 165344818
QUERY 1351797369 492067917 1504569917
QUERY 496987743 159259470 1359512183
QUERY 1967513926 1365180540 1540383426
QUERY 1544617505 243268139 1012502954
QUERY 719885386 1649760492 596516649
QUERY 813823381 902411556 1622838287
QUERY 502278611 1450573622 1037127828
QUERY 336465782 861021530 278722862
INSERT 87755422 889023311 1494613810
QUERY 1677157265 302116632 1944216249
QUERY 184803526 412776091 1424268980
QUERY 1977648522 1470503465 1402586708
QUERY 188213258 559412924 1884167637
QUERY 238962600 776532036 1238433452
QUERY 184803526 412776091 1424268980
QUERY 1912163036 671068506 76277107
QUERY 1101513929 1801979802 1315634022
QUERY 1898152167 375487534 720936636
QUERY 1791321676 1117726230 2063449294
QUERY 1967681095 1850952926 437116466
QUERY 638422090 1943327684 1953443376
QUERY 1237379107 349517445 588219756
QUERY 995706887 1823089412 1065103348
QUERY 452825171 1435218189 1135771559
QUERY 1057467587 1799878206 1555319301
QUERY 1070575321 260401255 296864819
QUERY 149798315 2038664370 1129566413
QUERY 1756915667 1065311705 719346228
QUERY 1307565984 555996658 324763920
QUERY 1389867269 780821396 619054081
QUERY 917679292 2006811972 1253207672
QUERY 706043324 496987743 159259470
QUERY 1343606042 1111783898 446340713
QUERY 1782280524 846942590 524688209
QUERY 1059961393 2089018456 628175011
QUERY 292218004 882160379 11614769
QUERY 630668850 246247255 1858721860
QUERY 149798315 2038664370 1129566413
QUERY 1367743294 441971924 1846164556
QUERY 1059961393 2089018456 628175011
QUERY 282828202 110613202 114723506
QUERY 1804289383 846930886 1681692777
QUERY 1911759956 749241873 137806862
QUERY 653448036 1908518808 1023457753
QUERY 32321825 1184812754 1642661448
QUERY 1781999754 150517567 212251746
QUERY 1059961393 2089018456 628175011
QUERY 2025187190 1967681095 1850952926
QUERY 1237979969 93155710 1690492373
QUERY 1344247686 1795519125 661761152
QUERY 233665123 2145174067 468703135
QUERY 1545032460 430253414 861543921
INSERT 932026304 496060028 828388027
QUERY 1192707556 31308902 816504794
QUERY 251243823 625321929 1230674396
QUERY 1974806403 1473144500 1739000681
QUERY 1387036159 12895151 1144522535
QUERY 1714636915 1957747793 424238335
QUERY 1543755629 1722060049 1455590964
QUERY 635723058 1369133069 1125898167
QUERY 1503885238 1219407971 2416949
QUERY 87755422 889023311 1494613810
QUERY 756898537 1734575198 1973594324
QUERY 672655340 1900553541 400000569
QUERY 1780172261 1450956042 1941690360
QUERY 304089172 1303455736 35005211
QUERY 2002495425 500618996 1989806367
QUERY 1061730690 1186631626 2016764524
QUERY 1276673168 1411328205 2137390358
QUERY 1877565100 1265204346 1369602726
QUERY 1707056552 564325578 1297893529
QUERY 1708302647 1857756970 1874799051
INSERT 885799631 1314218593 1281830857
QUERY 318561886 1243439214 70788355
QUERY 1788014412 1106059479 241909610
QUERY 932026304 496060028 828388027
QUERY 970925433 309198987 887077888
QUERY 37487770 1541027284 1232056856
QUERY 959372260 1025125849 2137100237
QUERY 1366405247 302935500 2120838155
QUERY 1154615609 309766496 457676440
QUERY 984124220 649785905 1259577690
QUERY 1930772757 1647149314 716334471
QUERY 1025533459 2039723618 1001089438
QUERY 394633074 983631233 1675518157
QUERY 521595368 294702567 1726956429
QUERY 1189641421 1025202362 1350490027
QUERY 410228794 1026413173 773319847
QUERY 452456682 1302539390 1858504292
QUERY 1026488339 990217934 104451352
QUERY 1280631491 126401947 1204462951
QUERY 1433925857 1141616124 84353895
QUERY 1291554098 1655035325 1905241081
QUERY 962033002 1047372231 1707746139
QUERY 333582338 628974580 1894519218
QUERY 1605539862 1021784812 586235379
QUERY 336465782 861021530 278722862
QUERY 1756915667 1065311705 719346228
QUERY 1344593499 378469911 272020127
QUERY 29777560 345367818 257675105
QUERY 635723058 1369133069 1125898167
QUERY 845563291 1066077375 937558955
QUERY 1189641421 1025202362 1350490027
QUERY 1189641421 1025202362 1350490027
QUERY 635723058 1369133069 1125898167
QUERY 1421186593 1502781486 703550253
QUERY 733327814 107734713 1646478179
QUERY 1464415775 1941727088 672032919
QUERY 1738110294 406011017 1269400346
QUERY 136135018 1219377470 1999038585
QUERY 885799631 1314218593 1281830857
QUERY 1986894018 1007277217 551836836
QUERY 635723058 1369133069 1125898167
QUERY 1130698571 1250372661 1566369633
QUERY 1373226340 1631518149 200747796
QUERY 859484421 1914544919 608413784
QUERY 1656478042 1131176229 1653377373
QUERY 1967513926 1365180540 1540383426
QUERY 1131352346 848934683 2124898138
QUERY 184803526 412776091 1424268980
QUERY 1434433518 1131359211 1821066342
QUERY 157272379 1104627321 1910858270
QUERY 1763794427 2059344234 1582152040
QUERY 94307398 51245830 10901063
QUERY 1520982030 1761250573 1089653714
QUERY 410134047 1038626924 1982945082
QUERY 525829204 1527622954 1312630443
QUERY 1862875640 356684278 1022089159
QUERY 14989683 1242561041 1581539848
QUERY 207026272 1691449122 2032454154
QUERY 639624893 1451163042 1830992300
QUERY 304089172 1303455736 35005211
QUERY 1338299904 1543324176 1985433483
QUERY 1502781486 703550253 1909850543
QUERY 1059961393 2089018456 628175011
QUERY 811742698 294110991 1417076376
QUERY 932026304 496060028 828388027
QUERY 756898537 1734575198 1973594324
QUERY 82173109 1105816539 857490000
QUERY 304089172 1303455736 35005211
QUERY 1395405989 271059426 992028067
QUERY 602569078 269365760 340606628
QUERY 134591281 101323875 1131884850
QUERY 235202254 833215350 1280311131
QUERY 1911759956 749241873 137806862
QUERY 149798315 2038664370 1129566413
QUERY 616716465 1787189168 1396768681
QUERY 149798315 2038664370 1129566413
QUERY 51245830 10901063 1046370347
QUERY 1059961393 2089018456 628175011
QUERY 1623380595 1287859999 298501962
QUERY 932026304 496060028 828388027
QUERY 1920703868 466747319 1904279192
QUERY 87755422 889023311 1494613810
INSERT 428903682 617909211 1412277685
QUERY 304089172 1303455736 35005211
QUERY 632651476 1204754116 1384095820
QUERY 521595368 294702567 1726956429
QUERY 1660651136 61101360 1267889618
QUERY 304089172 1303455736 35005211
QUERY 370917955 384370888 772634225
QUERY 1390543437 216220853 699460008
QUERY 233665123 2145174067 468703135
QUERY 1967513926 1365180540 1540383426
QUERY 2040332871 112805732 1120048829
QUERY 1804289383 846930886 1681692777
QUERY 2081362124 636453333 363304213
QUERY 42999170 982906996 135497281
QUERY 1123716509 1764756387 2063018202
QUERY 396377017 6072641 1934392735
QUERY 1396918184 1476453195 376696776
QUERY 1664423428 242588954 1849552528
QUERY 932026304 496060028 828388027
QUERY 1916250774 1528806445 870305000
QUERY 500618996 1989806367 1184214677
QUERY 1143565421 981914693 1375179334
QUERY 1162088421 12548159 576994985
QUERY 953691761 507578762 1402492972
QUERY 1104561852 915711850 737703662
QUERY 198628789 995234140 2021303708
QUERY 1189641421 1025202362 1350490027
QUERY 1833488263 1466942491 1688323172
QUERY 1642548899 1501252996 260152959
QUERY 234576987 1866355856 342146590
QUERY 849725352 978587665 1143195511
QUERY 360022300 1376941062 100603786
QUERY 1928189300 1931706506 85291638
QUERY 472131489 1671581032 1337434154
QUERY 25222833 1245644428 1812247776
QUERY 1209734969 434290636 1724916170
QUERY 2067062760 1020406649 825726814
QUERY 1968922326 221713886 1934660183
QUERY 198619204 1374631287 1992232983
QUERY 184803526 412776091 1424268980
QUERY 475122431 690471744 1368293026
QUERY 78374295 1550101877 752704313
QUERY 1186994949 1450099355 2056665155
QUERY 929588156 18400960 2138982933
QUERY 213213171 568275358 1720185677
INSERT 399493245 1567022181 817572761
QUERY 1804289383 846930886 1681692777
