BULKLOAD data/sortedData_2_10_100000.txt 100000
INSERT 1804289383 846930886
INSERT 1681692777 1714636915
INSERT 1957747793 424238335
INSERT 719885386 1649760492
INSERT 596516649 1189641421
INSERT 1025202362 1350490027
INSERT 783368690 1102520059
INSERT 2044897763 1967513926
INSERT 1365180540 1540383426
INSERT 304089172 1303455736
INSERT 35005211 521595368
INSERT 294702567 1726956429
INSERT 336465782 861021530
INSERT 278722862 233665123
INSERT 2145174067 468703135
INSERT 1101513929 1801979802
INSERT 1315634022 635723058
INSERT 1369133069 1125898167
INSERT 1059961393 2089018456
INSERT 628175011 1656478042
INSERT 1131176229 1653377373
INSERT 859484421 1914544919
INSERT 608413784 756898537
INSERT 1734575198 1973594324
INSERT 149798315 2038664370
INSERT 1129566413 184803526
INSERT 412776091 1424268980
INSERT 1911759956 749241873
INSERT 137806862 42999170
INSERT 982906996 135497281
INSERT 511702305 2084420925
INSERT 1937477084 1827336327
INSERT 572660336 1159126505
INSERT 805750846 1632621729
INSERT 1100661313 1433925857
INSERT 1141616124 84353895
INSERT 939819582 2001100545
INSERT 1998898814 1548233367
INSERT 610515434 1585990364
INSERT 1374344043 760313750
INSERT 1477171087 356426808
INSERT 945117276 1889947178
INSERT 1780695788 709393584
INSERT 491705403 1918502651
INSERT 752392754 1474612399
INSERT 2053999932 1264095060
INSERT 1411549676 1843993368
INSERT 943947739 1984210012
INSERT 855636226 1749698586
INSERT 1469348094 1956297539
INSERT 1036140795 463480570
INSERT 2040651434 1975960378
INSERT 317097467 1892066601
INSERT 1376710097 927612902
INSERT 1330573317 603570492
INSERT 1687926652 660260756
INSERT 959997301 485560280
INSERT 402724286 593209441
INSERT 1194953865 894429689
INSERT 364228444 1947346619
INSERT 221558440 270744729
INSERT 1063958031 1633108117
INSERT 2114738097 2007905771
INSERT 1469834481 822890675
INSERT 1610120709 791698927
INSERT 631704567 498777856
INSERT 1255179497 524872353
INSERT 327254586 1572276965
INSERT 269455306 1703964683
INSERT 352406219 1600028624
INSERT 160051528 2040332871
INSERT 112805732 1120048829
INSERT 378409503 515530019
INSERT 1713258270 1573363368
INSERT 1409959708 2077486715
INSERT 1373226340 1631518149
INSERT 200747796 289700723
