BULKLOAD Testcases/TC_2/sortedData_2_10_100.txt 100
INSERT 407758942 880655926
INSERT 2129149659 213275477
INSERT 1947648957 1326152367
INSERT 1154871310 1714111936
INSERT 973277757 731159142
INSERT 1195642587 484685256
INSERT 1027742903 804238892
INSERT 1782084751 95409222
INSERT 1977411597 1496243256
INSERT 1144669835 917226079
INSERT 663346543 520175671
INSERT 2145475865 1691392108
INSERT 105734225 671754075
INSERT 124888058 997403811
INSERT 1984562929 2062867570
INSERT 1267945984 244838223
INSERT 796039849 1249611995
INSERT 458113700 596205158
INSERT 428280715 1612985010
INSERT 162833446 1401558472
INSERT 196660504 1358476033
INSERT 1886243729 1224403408
INSERT 15231277 1520844832
INSERT 1319812630 1992642875
INSERT 869604441 316998817
INSERT 762385306 1532950984
INSERT 837174489 760377523
INSERT 1076859444 942908714
INSERT 1432131598 1201747502
INSERT 1940312525 1269210879
INSERT 1117131425 1060774861
INSERT 1514049102 1913171274
INSERT 162903209 1972162803
INSERT 361892784 591183924
INSERT 1437664165 524726231
INSERT 1992742396 1634324670
INSERT 1883202264 1731502477
INSERT 711244430 1898433542
INSERT 1104863662 2031057060
INSERT 1743592769 1974468103
INSERT 200572230 358494427
INSERT 1359935439 1037746719
INSERT 1118871951 289311235
INSERT 1980655433 403519901
INSERT 1491058738 1773484311
INSERT 1672730781 460706515
INSERT 686775524 1039296235
INSERT 226394141 849678733
INSERT 863975390 588286925
INSERT 1440862657 154155908
INSERT 1113013156 1286121406
INSERT 1788480578 848731773
INSERT 870140235 352241360
INSERT 599681667 1975003897
INSERT 235814772 195790788
INSERT 1801988352 436387002
INSERT 554285215 1014440143
INSERT 1474133721 1673157166
INSERT 1303751379 1307305507
INSERT 2076677068 647326469
INSERT 933306170 1601924201
INSERT 1108032984 1620081694
INSERT 493736788 1334427125
INSERT 322276780 1357712179
INSERT 1922714050 1763139437
INSERT 1511868087 888243559
INSERT 901777195 1152865017
INSERT 1736975332 1771917431
INSERT 1505106377 189173351
INSERT 1599437680 1740921149
INSERT 384964139 1253942385
INSERT 29824504 939249354
INSERT 120898880 1503958225
INSERT 464922873 1424650259
INSERT 663780084 394116293
INSERT 2071976728 1597086254
INSERT 1996040494 1032526064
INSERT 1069684301 342293634
INSERT 219469541 1391961081
INSERT 1700005813 2142183592
INSERT 1007616870 1064390252
INSERT 882943503 1909394066
INSERT 69771621 472435187
INSERT 1533827849 1574877998
INSERT 661608538 985781881
INSERT 1168315500 1046572677
INSERT 92240618 1198140004
INSERT 1985822031 213139499
INSERT 554614581 303261256
INSERT 1637789758 1218394666
INSERT 697377549 1562282839
INSERT 667997272 545934395
INSERT 447325255 1737681573
INSERT 888228030 666794797
INSERT 982159006 440750195
INSERT 661494741 1989775877
INSERT 1505140448 1544438244
INSERT 1751686295 1574912069
INSERT 2016873431 1138030496
INSERT 1002306420 530998321
QUERY 1577570998 68569348
QUERY 1641876843 1245134883
QUERY 908477296 37620980
QUERY 814998935 1781623052
QUERY 1887044266 39255336
INSERT 962428942 1929450309
INSERT 359383538 1533652956
QUERY 837174489 760377523
QUERY 1505106377 189173351
QUERY 1605768373 850806728
QUERY 1195642587 484685256
QUERY 870832287 114035190
QUERY 1817262155 1892193087
QUERY 1054014592 1217225495
INSERT 1066521919 1083641761
QUERY 1607841565 1880853516
QUERY 1154871310 1714111936
QUERY 1703210600 1380791061
QUERY 1381838434 803900192
QUERY 1268326865 1375897291
INSERT 1280617046 1963515915
QUERY 1629787935 1708871641
QUERY 1069684301 342293634
QUERY 1023583462 979038753
QUERY 2020941791 1928230614
QUERY 1985822031 213139499
QUERY 1886243729 1224403408
QUERY 1553781778 248128564
QUERY 64160832 499973335
QUERY 1002306420 530998321
QUERY 1743592769 1974468103
QUERY 711244430 1898433542
QUERY 516216550 1953474194
QUERY 1858195536 1952541140
QUERY 1066634341 1584533055
QUERY 1832661619 782838610
QUERY 1535145211 1677546284
QUERY 934617082 1639962956
QUERY 577762758 647505025
QUERY 1007616870 1064390252
QUERY 646515172 1718741100
QUERY 1514917316 1808234623
QUERY 613521577 852492347
QUERY 1579587908 1514408148
QUERY 1992742396 1634324670
QUERY 1858195536 1952541140
QUERY 738398113 1782704902
QUERY 882943503 1909394066
QUERY 388408205 825623929
QUERY 2002096099 878956183
QUERY 388125420 441411738
QUERY 1397090274 814871930
QUERY 1709890615 2055362607
QUERY 663780084 394116293
QUERY 982159006 440750195
QUERY 469758395 235724272
QUERY 128707068 152323938
QUERY 529557810 315291027
QUERY 1483107420 1470438246
QUERY 137826528 370807310
QUERY 180627638 1380262677
QUERY 1535145211 1677546284
INSERT 1567328352 370414065
QUERY 1155898266 1243415982
INSERT 1867933822 218151495
QUERY 882943503 1909394066
QUERY 468543045 1024410966
INSERT 996878907 1757125012
QUERY 69771621 472435187
QUERY 464922873 1424650259
QUERY 1658643857 2064703021
QUERY 901777195 1152865017
QUERY 1854968309 1440726576
INSERT 221944547 1894348711
QUERY 1268326865 1375897291
QUERY 1118266568 397300423
QUERY 473653430 355971144
QUERY 1505106377 189173351
QUERY 1992742396 1634324670
QUERY 1304822190 1369895901
QUERY 69771621 472435187
QUERY 757212008 1544094805
INSERT 491683055 1763184188
QUERY 599681667 1975003897
QUERY 124888058 997403811
QUERY 15231277 1520844832
QUERY 2110377009 623089083
QUERY 1907664351 1661843009
QUERY 200572230 358494427
QUERY 1922714050 1763139437
QUERY 697377549 1562282839
QUERY 225480176 1134351078
QUERY 996878907 1757125012
QUERY 326067214 1940416336
QUERY 1706351372 1387177916
QUERY 901537277 1319048849
QUERY 1672730781 460706515
QUERY 1821219960 1153349971
QUERY 1104863662 2031057060
QUERY 621750264 93725974
QUERY 933306170 1601924201
QUERY 933306170 1601924201
QUERY 1595595235 1810500213
QUERY 1801988352 436387002
QUERY 1091321524 1754111429
QUERY 759977752 686013101
QUERY 1166570543 642378998
QUERY 1271855046 1768232982
QUERY 92240618 1198140004
QUERY 143824078 1050841710
QUERY 1801988352 436387002
QUERY 996532666 1258102117
QUERY 1514049102 1913171274
QUERY 1059462065 1969425679
QUERY 711244430 1898433542
QUERY 633422373 922412699
QUERY 1066267933 876292155
QUERY 1736975332 1771917431
QUERY 491683055 1763184188
QUERY 1788480578 848731773
QUERY 419331258 1673128393
QUERY 663346543 520175671
QUERY 823697042 1350873678
QUERY 1155898266 1243415982
QUERY 863975390 588286925
QUERY 1677368105 183450210
QUERY 69771621 472435187
QUERY 234450305 1258193490
QUERY 105734225 671754075
QUERY 282517684 238938453
QUERY 1589812131 494390292
QUERY 534946248 595643407
QUERY 143762718 1922420721
QUERY 323066876 2105013019
QUERY 1922714050 1763139437
QUERY 863975390 588286925
QUERY 1708302887 1930055056
QUERY 329797264 1888407960
QUERY 988659325 1365402144
QUERY 1961045551 1939655080
QUERY 2016873431 1138030496
QUERY 1886243729 1224403408
QUERY 1005502631 759973309
QUERY 1886243729 1224403408
QUERY 1709890615 2055362607
QUERY 990112159 2096749553
QUERY 221944547 1894348711
QUERY 1050628751 648699
QUERY 960062125 594207483
QUERY 1491058738 1773484311
QUERY 1839078040 1494858708
QUERY 158459559 1243716541
QUERY 1704882317 351950040
QUERY 554956718 1446285349
QUERY 671364104 1509984469
QUERY 1630308726 549664318
QUERY 671364104 1509984469
QUERY 1956582001 1815457908
QUERY 15945355 701569181
QUERY 1945285722 1631461820
INSERT 1502684391 1983411860
QUERY 221944547 1894348711
QUERY 1319812630 1992642875
QUERY 577762758 647505025
QUERY 1646731576 1909782264
QUERY 1319812630 1992642875
QUERY 1590278468 1159125270
QUERY 956927344 2071796304
QUERY 599681667 1975003897
QUERY 762385306 1532950984
QUERY 17295061 95028417
QUERY 221828530 1288727090
QUERY 1051025706 783984425
QUERY 210833891 884620688
QUERY 1980655433 403519901
QUERY 238334649 1962032209
QUERY 504586644 1345480050
QUERY 1703120545 667593939
QUERY 762622356 377600088
QUERY 1666327178 758411918
QUERY 1542396343 1132591944
QUERY 2017212632 409876577
QUERY 870140235 352241360
QUERY 492235953 1784498691
QUERY 1162103222 1218242911
QUERY 1778103994 266364181
QUERY 1268326865 1375897291
QUERY 1984562929 2062867570
QUERY 1672730781 460706515
INSERT 938058214 1678742682
QUERY 1190213214 1086801532
QUERY 487304214 97521018
QUERY 1942740595 1141225970
QUERY 235814772 195790788
QUERY 1505106377 189173351
QUERY 2076677068 647326469
QUERY 1399365477 445242140
QUERY 433619473 1235288287
QUERY 1482399270 69736364
QUERY 962428942 1929450309
QUERY 1782084751 95409222
QUERY 1993443400 1603080637
QUERY 891304135 658258491
QUERY 989294738 41893283
QUERY 1883202264 1731502477
QUERY 200572230 358494427
QUERY 1394842527 2144344984
QUERY 1867933822 218151495
QUERY 1851523846 113723661
QUERY 1716804298 1310964738
QUERY 2037776664 2081053720
QUERY 1567328352 370414065
QUERY 661035443 1483327497
QUERY 493736788 1334427125
QUERY 227190172 1888972408
QUERY 1531463432 1288229196
QUERY 1401952857 406989639
QUERY 557068225 1830940756
QUERY 1150759051 525740514
QUERY 23945404 1144558590
QUERY 1801988352 436387002
QUERY 868194166 799883910
QUERY 541372670 1346207908
QUERY 661608538 985781881
QUERY 1168315500 1046572677
QUERY 408714150 2144594464
QUERY 870140235 352241360
QUERY 839072976 547703671
QUERY 1185569000 1661322117
QUERY 313722379 1695696343
QUERY 894420603 1653381576
QUERY 2097385544 1405396760
QUERY 1740179609 1835492896
QUERY 1681009015 1473959475
QUERY 554285215 1014440143
QUERY 1654697271 1521867564
QUERY 1782084751 95409222
QUERY 1267945984 244838223
QUERY 433619473 1235288287
QUERY 1079482563 342864851
QUERY 30874100 527662646
QUERY 1887044266 39255336
