BULKLOAD Testcases/TC_3/sortedData_3_10_1000.txt 1000
INSERT 1819114272 1672248171 907242393
INSERT 1628843015 1176367178 1039974352
INSERT 490018747 282999573 902065334
INSERT 2013438674 1455740652 1772092654
INSERT 410313699 97372445 461411200
INSERT 30203018 1673339219 269759045
INSERT 1156297986 1134409811 520024957
INSERT 1481015881 284387709 1296682796
INSERT 53467643 85711886 592067639
INSERT 1062750248 262265677 1137988968
INSERT 182792027 2081379949 662753491
INSERT 1090034420 1562739316 1839120669
INSERT 2130008773 2052758064 2122120242
INSERT 884590459 1918713090 1430377247
INSERT 509199466 181543141 1527749692
INSERT 970610666 211746160 1053605263
INSERT 1240369712 1368044146 40531427
INSERT 1760394669 701576379 324919136
INSERT 909593817 755044023 410631022
INSERT 1501661457 1817794271 672896699
QUERY 606793000 1154920269 943137071
QUERY 925662196 2074806733 821193885
QUERY 884590459 1918713090 1430377247
QUERY 1142579140 91841829 537958791
QUERY 884590459 1918713090 1430377247
QUERY 1062750248 262265677 1137988968
QUERY 37156730 155593347 2091038082
QUERY 1982169116 5727669 691387669
QUERY 458308540 13751622 395618183
QUERY 94170711 1383589909 1995972751
QUERY 236576055 1951982231 1751996050
QUERY 1481015881 284387709 1296682796
QUERY 740318154 1832879715 161511972
QUERY 600845325 1893811961 401858547
QUERY 13609797 2128854403 660869841
QUERY 2013438674 1455740652 1772092654
QUERY 1867322789 1003178153 589994399
QUERY 511200354 1191033324 1113889043
QUERY 950797843 665159826 2109516751
QUERY 1940470591 334949612 60367172
QUERY 1344319194 549958359 1617671728
QUERY 306441575 1362212555 1536507417
QUERY 182792027 2081379949 662753491
QUERY 1626950635 785939979 1234868357
QUERY 278418034 301342845 887390488
QUERY 1552550314 809994997 795773038
QUERY 246280271 2051206020 1657930472
QUERY 1823148184 1041389460 455235252
QUERY 1030289885 2052735383 26358601
QUERY 1292166470 99517633 24142333
QUERY 44091004 1282745954 1604288157
QUERY 629507860 298434288 1460853665
QUERY 1123277269 1560852707 1275842850
QUERY 1156297986 1134409811 520024957
QUERY 2008632983 328663659 953243781
QUERY 2032040448 181846270 1868558958
QUERY 952938275 298617883 1202156814
QUERY 389059157 188676744 1457003820
QUERY 1604059055 1230927838 1773805508
QUERY 490018747 282999573 902065334
QUERY 1687197433 1105334861 620053286
QUERY 1013700477 412666638 1353164275
QUERY 1985802275 1502371290 1301980229
QUERY 1600598112 2143114622 1284906527
QUERY 2018210173 1320648363 1128328784
QUERY 182792027 2081379949 662753491
QUERY 1697670545 1521958846 1139729193
QUERY 97580407 1370512951 1851635214
QUERY 576889053 1782785935 539026828
INSERT 1137673577 1841007058 1356165488
QUERY 1351796462 582922374 976476671
QUERY 2115835640 1975556258 1084220995
QUERY 1725071554 451556479 42487008
QUERY 509199466 181543141 1527749692
QUERY 1819114272 1672248171 907242393
QUERY 1295820189 1012666476 688488434
QUERY 382011844 919709710 1448355901
QUERY 2031278276 505126390 1860509118
QUERY 30203018 1673339219 269759045
QUERY 909593817 755044023 410631022
QUERY 1775442687 998330878 1193612327
QUERY 2013438674 1455740652 1772092654
QUERY 143339896 1832096349 692773769
QUERY 1817532746 1554146287 317740689
QUERY 750616352 1019619636 1108561723
QUERY 1582040106 4739902 1689473883
QUERY 997659595 602692457 1489018851
QUERY 1585362634 535024464 945620855
QUERY 1090034420 1562739316 1839120669
QUERY 970610666 211746160 1053605263
QUERY 1062750248 262265677 1137988968
QUERY 1145093533 629060839 1073620186
QUERY 1240369712 1368044146 40531427
QUERY 349695978 959245704 200537356
QUERY 1785899990 1143672687 1260938084
QUERY 878505164 375590753 52100925
QUERY 53467643 85711886 592067639
QUERY 1443291377 950399119 1901693134
QUERY 827829672 250947410 1643077255
INSERT 1750467441 1999630502 617708265
QUERY 818245621 561327995 1126709786
QUERY 240164222 1535264667 83733893
QUERY 1090034420 1562739316 1839120669
QUERY 469688164 1558624347 712418698
QUERY 466628184 206397156 1940999776
QUERY 1436593383 1053163969 60328359
QUERY 13008131 2100132795 341634207
QUERY 798296170 131853160 1319523156
QUERY 1218593014 1895177301 610667730
QUERY 78173307 1919609448 2059751391
QUERY 1157829136 663212566 914752339
QUERY 2143462110 985062609 402909846
INSERT 1080963337 1151310861 401833719
QUERY 30203018 1673339219 269759045
QUERY 1254228008 1814629824 1121031137
QUERY 182792027 2081379949 662753491
QUERY 159555990 2028329283 1460165863
QUERY 509199466 181543141 1527749692
QUERY 181359152 212608822 1849532265
QUERY 430793837 1576949240 2048383980
QUERY 401613730 1149207262 479979537
QUERY 1080963337 1151310861 401833719
QUERY 30203018 1673339219 269759045
QUERY 347435968 1884359543 291275347
QUERY 944511379 824803768 115453749
QUERY 1483950864 1490137490 208139302
QUERY 183392825 295681041 39573634
QUERY 564646584 1352409162 807683482
QUERY 257863599 1167122319 1740687143
QUERY 1684476244 727735279 945863289
INSERT 1480715314 1691157397 2113333139
QUERY 707587584 732426573 1143078362
QUERY 970610666 211746160 1053605263
QUERY 1495655918 972689163 857389477
QUERY 533275432 108806426 768420607
QUERY 1003391718 1623310801 1320132392
QUERY 970610666 211746160 1053605263
QUERY 76198979 605631949 787285488
QUERY 814561810 1205738825 1451160440
QUERY 1302173042 1318489116 1650998782
INSERT 539956701 990051133 25702313
QUERY 1238046718 526376649 1736639479
QUERY 1197965751 767475773 179934938
QUERY 490018747 282999573 902065334
QUERY 1191158924 1880875243 2111243076
QUERY 1734600500 526356246 5004925
QUERY 1750467441 1999630502 617708265
QUERY 1036730053 273352465 453813353
QUERY 2088967780 751253319 1840041843
QUERY 890523946 674204362 1383209976
QUERY 884261628 489530274 1756180689
INSERT 1900101012 950475700 1924481923
QUERY 303354521 386392403 176658745
QUERY 1010752641 1359929234 1662952285
QUERY 704064521 1791936929 2121314820
QUERY 586162796 517204845 281198092
QUERY 1894319207 1338946318 1818314248
QUERY 522225173 2136034865 1619321862
QUERY 30203018 1673339219 269759045
QUERY 2013438674 1455740652 1772092654
QUERY 1955007281 697397076 216917541
QUERY 920982063 1836780153 703575289
QUERY 584135050 739925487 1401327054
QUERY 592789724 809729774 1117858233
QUERY 992378013 1854876626 319260757
QUERY 1220658657 1510965983 1625070410
QUERY 1410993051 1850988813 1630601292
QUERY 1156297986 1134409811 520024957
QUERY 1934022582 1667480964 1099749664
QUERY 503604369 384387560 2000409690
QUERY 445715766 304749670 1989006839
QUERY 833901204 426891414 713267844
QUERY 1800124495 2076565915 1820546784
QUERY 98292996 1374903414 498952313
QUERY 1862329991 156086215 536188920
QUERY 1135271556 137920032 184935848
QUERY 1056084454 1433913364 2085173246
QUERY 331696685 1731508850 432819567
QUERY 382101747 697605376 990904741
QUERY 1949897394 368129196 15459803
QUERY 1156297986 1134409811 520024957
QUERY 1480715314 1691157397 2113333139
